32,2651.0,Liuy,Slabicki,1979 Marcus Ave.,Westwood,NJ,7675
34,2723.0,Waylon,Johnson,440 Richmond Park East,Hamden,CT,06517-2703
35,4010.0,Robert,Morgan,48289 Fremont Blvd,Carrollton,TX,75006
36,1516.0,Christian,Annamanaidu,213 N. College Dr.,Omaha,NE,68127
38,2743.0,Aneta,Beier,8204 Anderson Road,Temple,TX,76504
39,3738.0,Philip,Fernandes,136 Gales Drive,Richmond Hts,OH,44143
40,4066.0,Chris,Roby,182 Greylock Parkway,Sacto,CA,95814
41,2816.0,Gopinath,Kumari,35 Manor Dr. Apt# 5-O,Queens Village,NY,11428
42,2551.0,Harriet,Pardo,141 Summit Street,Waldorf,MN,56091
43,3128.0,Brent,Haldorai,1427 Valley,Huntsville,AL,35806
44,4770.0,Jeremy,Miller,625 Woodsmoke,Plano,TX,75023
45,332.0,Phyllis,Jain,75 Lexington Court,Austin,MN,55912
46,2819.0,Randy,Nataraj,1409 Coliseum Blvd,Wesley Chapel,FL,33544
47,4400.0,Timothy,Sellers,13700 Sutton Park Dr N -- #322,Dallas,TX,75287
48,933.0,Deanna,Allen,766 Willow Ridge Dr,Demotte,IN,46310
49,4303.0,Walter,Huebner,100 Peachtree St.,Jacksonville,FL,32217
50,4804.0,Larry,Hutcheson,2902 Cannons Lane,Coffeyville,KS,67337
51,1591.0,Eduardo,Green,1240 E. Diehl Road,Columbia,SC,29209
52,4191.0,Mike,Azure,304 Combs,Mendon,NY,14606
53,3104.0,Donald,Dardac,4232 Judah,Irving,TX,75038
54,2430.0,Jose,Deguzman,4168 Woodland Road,Brooklyn,NY,11226
55,705.0,Jonathan,Wolff,7921 Lamar,Ann Arbor,MI,48108
56,3323.0,Mark,Johnson,1538 Harmon Cove Tower,Greenville,NC,27889
57,2508.0,Alan,Leach,147 Bear Creek Pike,Dallas,TX,75218-3995
58,3247.0,Robert,Marlatt,P.P. Box 139,Yorktown Heights,NY,10598
59,4822.0,Lk,Perlman,505 Ellis Blvd,Philadelphia,PA,19122-6083
60,4371.0,Scott,Brown,919  137Th Avenue Ne,Kansas City,KS,66102
61,2573.0,George,Stein,95 Carleton St,New Milford,NJ,7646
62,2209.0,Robert,Petway,303 3Rd Ave Se,Jacksonville,FL,32224
63,4191.0,Timothy,Robinson,3075 Highland Parkway,Westland,MI,48185
64,1401.0,Mark,Goodwin,6639 Capitol Blvd,Montgomery,AL,36130
65,791.0,Rick,Mallipeddi,1876 Woodhollow Dr,Milpitas,CA,95035
66,673.0,Bry,Buford,540 W North West Highway,New York,NY,10005
67,598.0,Mark,Fritz,16 Erie,Hosuton,TX,77077
68,3588.0,Karen,Hamilton,18 Marvin Dr.  Apt#B-5,Cincinnati,OH,45263
69,445.0,George,Ybarra,6 Oneill Ct,Detroit,MI,48206-1775
70,936.0,Joanne,Varghese,7178 Talhelm Road,Fort Wayne,IN,46805-1499
71,4257.0,Anita,Santos,1640 Barrington Lane,Barrington,IL,60448
